faq_id,question,answer,category
F001,Do I need to book in advance,Yes class spaces are limited and some sessions fill quickly so advance booking is recommended,Booking
F002,How do I know if a class is full,StudioFlow AI checks the latest class data and can tell you whether spaces are available whether the class is full or whether a waitlist is open,Booking
F003,Are beginners welcome,Yes we offer several beginner-friendly classes and coaches can be explored by specialty and experience focus,General
F004,What should I bring to my first class,Bring water comfortable training clothes and grip socks for reformer Pilates if you have them,First Visit
F005,How early should I arrive,Please arrive 10 minutes before your first class so the coach can welcome you and answer any questions,First Visit
F006,Can I cancel a class,Yes cancellations are allowed up to 12 hours before class start time otherwise the class may be deducted from your package,Booking
F007,Do you have showers or changing rooms,Yes we have changing rooms lockers and two showers on site,Facilities
F008,Can I join if I have not exercised in a while,Yes beginner-friendly options are available and you can ask about suitable coaches and classes before choosing,General
F009,Do memberships renew automatically,Monthly memberships renew automatically until cancelled according to the membership terms,Memberships
F010,Is parking available,There is limited street parking nearby and a public car park two minutes from the studio,Facilities
